tripID,stageID,Mode,time,lon,lat,speed
1,1,5,2012-05-23 09:00:26,-122.09202,38.01032,10.6
1,1,5,2012-05-23 09:00:29,-122.0919,38.01022,11.199999
1,1,5,2012-05-23 09:00:32,-122.09175,38.01016,10.6
1,1,5,2012-05-23 09:00:35,-122.09161,38.01015,8.1
1,1,5,2012-05-23 09:00:38,-122.09152,38.01018,5
1,1,5,2012-05-23 09:00:41,-122.09149,38.01022,5
1,1,5,2012-05-23 09:00:44,-122.09144,38.01031,8.699999
1,1,5,2012-05-23 09:00:47,-122.09137,38.01041,8.699999
1,1,5,2012-05-23 09:00:50,-122.09124,38.01046,11.199999
1,1,5,2012-05-23 09:00:53,-122.09101,38.01044,16.2
1,1,5,2012-05-23 09:00:56,-122.09077,38.01042,14.899999
1,1,5,2012-05-23 09:00:59,-122.09056,38.01043,8.699999
1,1,5,2012-05-23 09:01:02,-122.09038,38.01042,11.8
1,1,5,2012-05-23 09:01:05,-122.09017,38.01037,14.899999
1,1,5,2012-05-23 09:01:08,-122.08995,38.01027,15.5
1,1,5,2012-05-23 09:01:11,-122.08975,38.01019,11.8
1,1,5,2012-05-23 09:01:14,-122.08961,38.01013,10.6
1,1,5,2012-05-23 09:01:17,-122.08946,38.01006,11.8
1,1,5,2012-05-23 09:01:20,-122.08931,38.00999,9.3
1,1,5,2012-05-23 09:01:24,-122.08926,38.00997,3.099999
1,1,5,2012-05-23 09:01:27,-122.08924,38.00989,9.3
1,1,5,2012-05-23 09:01:30,-122.08934,38.00972,18.6
1,1,5,2012-05-23 09:01:33,-122.0895,38.00948,24.2
1,1,5,2012-05-23 09:01:36,-122.08968,38.00919,27.299999
1,1,5,2012-05-23 09:01:39,-122.08987,38.00888,28.6
1,1,5,2012-05-23 09:01:42,-122.09007,38.00856,29.2
1,1,5,2012-05-23 09:01:45,-122.09028,38.00824,28.6
1,1,5,2012-05-23 09:01:48,-122.09047,38.00793,28.6
1,1,5,2012-05-23 09:01:51,-122.09065,38.00762,27.299999
1,1,5,2012-05-23 09:01:54,-122.09071,38.00731,24.899999
1,1,5,2012-05-23 09:01:57,-122.09063,38.00704,20.5
1,1,5,2012-05-23 09:02:00,-122.09055,38.00682,16.799999
1,1,5,2012-05-23 09:02:03,-122.09041,38.00666,14.3
1,1,5,2012-05-23 09:02:06,-122.09016,38.00662,17.399999
1,1,5,2012-05-23 09:02:09,-122.08982,38.00672,25.5
1,1,5,2012-05-23 09:02:12,-122.0894,38.00685,30.399999
1,1,5,2012-05-23 09:02:15,-122.08891,38.007,34.799999
1,1,5,2012-05-23 09:02:18,-122.08837,38.00714,37.900001
1,1,5,2012-05-23 09:02:21,-122.08778,38.00728,41
1,1,5,2012-05-23 09:02:24,-122.08714,38.00743,44.099998
1,1,5,2012-05-23 09:02:27,-122.08644,38.00752,47.2
1,1,5,2012-05-23 09:02:30,-122.08569,38.00747,49.7
1,1,5,2012-05-23 09:02:33,-122.08495,38.00724,52.799999
1,1,5,2012-05-23 09:02:36,-122.08427,38.00682,56.5
1,1,5,2012-05-23 09:02:39,-122.08365,38.00627,63.400001
1,1,5,2012-05-23 09:02:42,-122.08294,38.00567,67.699996
1,1,5,2012-05-23 09:02:45,-122.08226,38.00505,67.099998
1,1,5,2012-05-23 09:02:48,-122.08161,38.00446,62.099998
1,1,5,2012-05-23 09:02:51,-122.08099,38.0039,60.900001
1,1,5,2012-05-23 09:02:54,-122.08035,38.00335,60.900001
1,1,5,2012-05-23 09:02:57,-122.07971,38.00281,61.5
1,1,5,2012-05-23 09:03:00,-122.07907,38.00225,62.799999
1,1,5,2012-05-23 09:03:03,-122.07843,38.00167,64
1,1,5,2012-05-23 09:03:06,-122.07779,38.00109,63.400001
1,1,5,2012-05-23 09:03:09,-122.07716,38.00051,62.099998
1,1,5,2012-05-23 09:03:12,-122.07653,37.99994,62.799999
1,1,5,2012-05-23 09:03:15,-122.07588,37.99937,64
1,1,5,2012-05-23 09:03:18,-122.0752,37.9988,64.599998
1,1,5,2012-05-23 09:03:21,-122.0745,37.99825,65.199996
1,1,5,2012-05-23 09:03:24,-122.07379,37.99768,65.900001
1,1,5,2012-05-23 09:03:27,-122.07307,37.99711,66.5
1,1,5,2012-05-23 09:03:30,-122.07234,37.99653,67.699996
1,1,5,2012-05-23 09:03:33,-122.07161,37.99595,69
1,1,5,2012-05-23 09:03:36,-122.07087,37.99534,69
1,1,5,2012-05-23 09:03:39,-122.07014,37.99473,69
1,1,5,2012-05-23 09:03:42,-122.06947,37.99409,68.400001
1,1,5,2012-05-23 09:03:45,-122.0689,37.99341,67.699996
1,1,5,2012-05-23 09:03:48,-122.06842,37.99268,67.099998
1,1,5,2012-05-23 09:03:51,-122.06804,37.99193,67.099998
1,1,5,2012-05-23 09:03:54,-122.06775,37.99115,67.699996
1,1,5,2012-05-23 09:03:57,-122.06756,37.99033,69
1,1,5,2012-05-23 09:04:00,-122.0674,37.98951,68.400001
1,1,5,2012-05-23 09:04:03,-122.06725,37.98871,65.900001
1,1,5,2012-05-23 09:04:06,-122.0671,37.98793,65.199996
1,1,5,2012-05-23 09:04:09,-122.06695,37.98715,65.199996
1,1,5,2012-05-23 09:04:12,-122.06681,37.98636,65.199996
1,1,5,2012-05-23 09:04:15,-122.06665,37.98558,64.599998
1,1,5,2012-05-23 09:04:18,-122.06649,37.98481,64
