tripID,stageID,Mode,time,lon,lat,speed
1,1,5,2012-05-23 10:23:56,-122.09698,38.00894,34.2
1,1,5,2012-05-23 10:23:59,-122.09745,38.0091,32.900001
1,1,5,2012-05-23 10:24:02,-122.0979,38.00926,32.900001
1,1,5,2012-05-23 10:24:05,-122.09835,38.00943,33.599998
1,1,5,2012-05-23 10:24:08,-122.09883,38.00961,34.799999
1,1,5,2012-05-23 10:24:11,-122.09933,38.0098,36
1,1,5,2012-05-23 10:24:14,-122.09983,38.00999,36
1,1,5,2012-05-23 10:24:17,-122.10034,38.01018,36.7
1,1,5,2012-05-23 10:24:20,-122.10086,38.01039,37.299999
1,1,5,2012-05-23 10:24:23,-122.10139,38.0106,39.099998
1,1,5,2012-05-23 10:24:26,-122.10195,38.01082,41
1,1,5,2012-05-23 10:24:29,-122.10252,38.01105,41.599998
1,1,5,2012-05-23 10:24:32,-122.10309,38.01128,41.599998
1,1,5,2012-05-23 10:24:35,-122.10368,38.0115,42.900001
1,1,5,2012-05-23 10:24:38,-122.10428,38.01173,42.900001
1,1,5,2012-05-23 10:24:41,-122.10488,38.01197,43.5
1,1,5,2012-05-23 10:24:44,-122.10549,38.0122,43.5
1,1,5,2012-05-23 10:24:47,-122.10609,38.0124,41
1,1,5,2012-05-23 10:24:50,-122.10668,38.01251,39.099998
1,1,5,2012-05-23 10:24:53,-122.10728,38.01253,38.5
1,1,5,2012-05-23 10:24:56,-122.10784,38.01253,34.799999
1,1,5,2012-05-23 10:24:59,-122.10834,38.0125,30.399999
1,1,5,2012-05-23 10:25:02,-122.10879,38.01249,28
1,1,5,2012-05-23 10:25:05,-122.10921,38.0125,26.7
1,1,5,2012-05-23 10:25:08,-122.10961,38.01251,24.899999
1,1,5,2012-05-23 10:25:11,-122.10997,38.0125,21.1
1,1,5,2012-05-23 10:25:14,-122.11026,38.01249,18
1,1,5,2012-05-23 10:25:17,-122.1105,38.01246,13.699999
