"personId"	"stageId"	"coordId"	"X"	"Y"	"Z"	"Day"	"Time"	"Mode"	"rawSpeed"	
104361301	0	0	-122.25575	37.84526	-1.0	16.5.2012	8:21:52	car	32.900001	
104361301	0	1	-122.25603	37.84492	-1.0	16.5.2012	8:21:55	car	31.7	
104361301	0	2	-122.25629	37.8446	-1.0	16.5.2012	8:21:58	car	31.1	
104361301	0	3	-122.25654	37.84428	-1.0	16.5.2012	8:22:1	car	29.799999	
104361301	0	4	-122.25678	37.84398	-1.0	16.5.2012	8:22:4	car	28.6	
104361301	0	5	-122.25699	37.84371	-1.0	16.5.2012	8:22:7	car	24.899999	
104361301	0	6	-122.25718	37.84348	-1.0	16.5.2012	8:22:10	car	21.7	
104361301	0	7	-122.25738	37.84326	-1.0	16.5.2012	8:22:13	car	21.7	
104361301	0	8	-122.25756	37.84308	-1.0	16.5.2012	8:22:16	car	14.899999	
104361301	0	9	-122.25762	37.84302	-1.0	16.5.2012	8:22:19	car	4.3	
104361301	0	10	-122.25765	37.84298	-1.0	16.5.2012	8:22:22	car	2.5	
104361301	0	11	-122.25766	37.84296	-1.0	16.5.2012	8:22:25	car	1.2	
104361301	0	12	-122.2577	37.84293	-1.0	16.5.2012	8:22:32	car	2.5	
104361301	0	13	-122.25779	37.84289	-1.0	16.5.2012	8:22:35	car	12.399999	
104361301	0	14	-122.25804	37.84281	-1.0	16.5.2012	8:22:38	car	21.7	
104361301	0	15	-122.25838	37.84268	-1.0	16.5.2012	8:22:41	car	26.7	
104361301	0	16	-122.25878	37.84253	-1.0	16.5.2012	8:22:44	car	31.7	
104361301	0	17	-122.25925	37.84234	-1.0	16.5.2012	8:22:47	car	36.0	
104361301	0	18	-122.25977	37.84216	-1.0	16.5.2012	8:22:50	car	37.900001	
104361301	0	19	-122.26035	37.84197	-1.0	16.5.2012	8:22:53	car	44.099998	
104361301	0	20	-122.26102	37.84176	-1.0	16.5.2012	8:22:56	car	48.5	
104361301	0	21	-122.26172	37.84151	-1.0	16.5.2012	8:22:59	car	50.299999	
104361301	0	22	-122.26241	37.84122	-1.0	16.5.2012	8:23:2	car	51.599998	
104361301	0	23	-122.26309	37.84087	-1.0	16.5.2012	8:23:5	car	52.799999	
104361301	0	24	-122.26373	37.84045	-1.0	16.5.2012	8:23:8	car	54.099998	
104361301	0	25	-122.26431	37.83998	-1.0	16.5.2012	8:23:11	car	54.099998	
104361301	0	26	-122.26481	37.83945	-1.0	16.5.2012	8:23:14	car	54.7	
104361301	0	27	-122.26521	37.83887	-1.0	16.5.2012	8:23:17	car	54.7	
104361301	0	28	-122.26552	37.83826	-1.0	16.5.2012	8:23:20	car	52.799999	
104361301	0	29	-122.26572	37.83766	-1.0	16.5.2012	8:23:23	car	47.2	
104361301	0	30	-122.26584	37.83714	-1.0	16.5.2012	8:23:26	car	41.599998	
104361301	0	31	-122.26592	37.83664	-1.0	16.5.2012	8:23:29	car	41.599998	
104361301	0	32	-122.26602	37.83613	-1.0	16.5.2012	8:23:32	car	44.099998	
104361301	0	33	-122.26613	37.83558	-1.0	16.5.2012	8:23:35	car	46.599998	
104361301	0	34	-122.26624	37.83502	-1.0	16.5.2012	8:23:38	car	46.0	
104361301	0	35	-122.26635	37.83449	-1.0	16.5.2012	8:23:41	car	42.900001	
104361301	0	36	-122.26644	37.83398	-1.0	16.5.2012	8:23:44	car	42.299999	
104361301	0	37	-122.26652	37.83344	-1.0	16.5.2012	8:23:47	car	46.599998	
104361301	0	38	-122.26664	37.83286	-1.0	16.5.2012	8:23:50	car	50.299999	
104361301	0	39	-122.26677	37.83222	-1.0	16.5.2012	8:23:53	car	55.299999	
104361301	0	40	-122.26691	37.83154	-1.0	16.5.2012	8:23:56	car	57.799999	
104361301	0	41	-122.26705	37.83083	-1.0	16.5.2012	8:23:59	car	59.7	
104361301	0	42	-122.2672	37.8301	-1.0	16.5.2012	8:24:2	car	61.5	
104361301	0	43	-122.26736	37.82934	-1.0	16.5.2012	8:24:5	car	63.400001	
104361301	0	44	-122.26751	37.82857	-1.0	16.5.2012	8:24:8	car	64.599998	
104361301	0	45	-122.26768	37.82778	-1.0	16.5.2012	8:24:11	car	66.5	
104361301	0	46	-122.26786	37.82699	-1.0	16.5.2012	8:24:14	car	67.699996	
104361301	0	47	-122.26806	37.82617	-1.0	16.5.2012	8:24:17	car	69.599998	
104361301	0	48	-122.26829	37.82534	-1.0	16.5.2012	8:24:20	car	71.5	
104361301	0	49	-122.26861	37.82418	-1.0	16.5.2012	8:24:24	car	73.900001	
104361301	0	50	-122.26883	37.82332	-1.0	16.5.2012	8:24:27	car	73.300003	
104361301	0	51	-122.26906	37.82245	-1.0	16.5.2012	8:24:30	car	72.699996	
104361301	0	52	-122.26928	37.82159	-1.0	16.5.2012	8:24:33	car	70.800003	
104361301	0	53	-122.26952	37.82076	-1.0	16.5.2012	8:24:36	car	69.0	
104361301	0	54	-122.26974	37.81995	-1.0	16.5.2012	8:24:39	car	66.5	
104361301	0	55	-122.26995	37.81917	-1.0	16.5.2012	8:24:42	car	65.199996	
104361301	0	56	-122.27016	37.81841	-1.0	16.5.2012	8:24:45	car	64.599998	
104361301	0	57	-122.27038	37.81764	-1.0	16.5.2012	8:24:48	car	65.199996	
104361301	0	58	-122.27063	37.81688	-1.0	16.5.2012	8:24:51	car	65.199996	
104361301	0	59	-122.2709	37.8161	-1.0	16.5.2012	8:24:54	car	67.099998	
104361301	0	60	-122.2712	37.81531	-1.0	16.5.2012	8:24:57	car	68.400001	
104361301	0	61	-122.27161	37.81454	-1.0	16.5.2012	8:25:0	car	69.0	
